"","doi_o"
"1","10.1002/ejsp.2013"
"2","10.1007/s40732-020-00453-8"
"3","10.1016/j.cognition.2009.02.001"
"4","10.1016/j.cub.2004.01.029"
"5","10.1016/j.jsp.2021.09.004"
"6","10.1017/bec.2013.16"
"7","10.1023/a:1019923923537"
"8","10.1037/0096-3445.136.4.569"
"9","10.1037/0278-7393.34.1.167"
"10","10.1037/a0012833"
"11","10.1037/a0027407"
"12","10.1038/nn1979"
"13","10.1073/pnas.1118373109"
"14","10.1093/her/cyl160"
"15","10.1093/scan/nsw175"
"16","10.1111/j.1467-9280.2008.02045.x"
"17","10.1111/j.1467-9280.2008.02061.x"
"18","10.1111/j.1467-9280.2008.02076.x"
"19","10.1111/j.1467-9280.2008.02159.x"
"20","10.1126/science.1130726"
"21","10.1177/0146167215610520"
"22","10.1177/0956797614563958"
"23","10.3102/0013189x13507104"
"24","10.1037/0096-3445.136.2.289"
"25","10.1093/jcr/ucz028"
"26","10.1080/02701367.2005.10599260"
"27","10.1038/ng.2637"
"28","10.1037/1040-3590.14.4.485"
"29","10.1176/appi.ajp.159.3.443"
"30","10.1017/s0305000900012411"
"31","10.1353/etc.2015.0001"
"32","10.1016/s0005-7967(00)00036-x"
"33","10.1136/injuryprev-2018-043127"
"34","10.1128/jvi.79.15.9746-9755.2005"
"35","10.1007/s11109-016-9383-3"
"36","10.3389/fnhum.2017.00468"
"37","10.1186/s12913-017-2744-8"
"38","10.1017/s0272263110000264"
"39","10.1007/s40732-014-0040-0"
"40","10.1037/a0017094"
"41","10.2307/2091819"
"42","10.1177/0146167205284004"
"43","10.1016/j.neuroimage.2010.02.068"
"44","10.1371/journal.pgen.1000847"
"45","10.1038/ng.3246"
"46","10.1038/ncb2048"
"47","10.1080/02796015.2011.12087729"
"48","10.1038/s41591-024-03283-1"
"49","10.1126/science.1128317"
"50","10.1377/hlthaff.2012.0393"
"51","10.1111/j.1745-6916.2006.00007.x"
"52","10.1038/mp.2015.109"
"53","10.1016/s2352-4642(18)30112-3"
"54","10.1126/science.1150952"
"55","10.1080/10615806.2021.1888933"
"56","10.7554/elife.10012"
"57","10.1016/j.biopsycho.2016.05.001"
"58","10.7334/psicothema2016.24"
"59","10.1136/jmedgenet-2013-101705"
"60","10.1111/j.1469-7610.2004.t01-1-00289.x"
"61","10.1086/378133"
"62","10.1038/ng.2802"
"63","10.1162/089892998563121"
"64","10.1016/j.cognition.2007.10.010"
"65","10.1016/j.neuroimage.2007.08.032"
"66","10.1016/j.beth.2012.02.002"
"67","10.1037/xhp0000284"
"68","10.1007/s11109-015-9325-5"
"69","10.1176/appi.ajp.2016.15111500"
"70","10.1007/s10926-019-09829-2"
"71","10.1177/0011128720940953"
"72","10.4992/jjpsy.94.22334"
"73","10.1080/17470910701563681"
"74","10.1210/jc.2011-1801"
"75","10.1016/j.jpsychires.2015.12.001"
"76","10.1016/j.cortex.2015.05.007"
"77","10.1016/j.cogbrainres.2005.02.020"
"78","10.1177/0956797612452574"
"79","10.1016/s0140-6736(12)60681-3"
"80","10.1037/0022-3514.91.6.995"
"81","10.1007/s10803-012-1608-7"
"82","10.1037/0022-3514.81.1.33"
"83","10.1177/0956797619842191"
"84","10.1007/s11858-016-0819-3"
"85","10.1111/j.1469-8986.2005.00278.x"
"86","10.1080/00224545.2020.1796567"
"87","10.1037/a0033009"
"88","10.1007/s13524-012-0091-2"
"89","10.1007/s11199-007-9195-3"
"90","10.1093/esr/jcs057"
"91","10.1016/j.socscimed.2017.03.014"
"92","10.1017/s0007123411000421"
"93","10.1177/0010414017740603"
"94","10.1017/s0007123412000191"
"95","10.1016/j.evolhumbehav.2010.05.002"
"96","10.1037/a0025035"
"97","10.1016/j.cognition.2010.05.005"
"98","10.1002/per.803"
"99","10.1007/s13524-018-0725-0"
