"","doi_o","message"
"1","10.1002/ejsp.2013","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Klein et al. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225
> 
> **The authors reported the replication as:** successful
> **Quote:** The coordinates of participants’ clicks on the fictional map were recorded (x, y) from the top left of the image and then recentered in the analysis such that clicks in the north half of the map were positive and clicks in the southern half of the map were negative. Across all samples (N = 6,591), participants in the high- SES condition (M = 11.70, SD = 84.31) selected a further north location than did participants in the low-SES con- dition (M = −22.70, SD = 88.78), t(6554.05) = 16.12, p = 2.15e−57, d = 0.40, 95% CI = [0.35, 0.45].
> **Quote source:** p. 12


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"2","10.1007/s40732-020-00453-8","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Ryan et al. (2024). Increasing Toy Engagement via Response Disequilibrium Theory: A Systematic Replication. The Psychological Record, 74(2), 219–224. https://doi.org/10.1007/s40732-024-00601-4
> 
> **The authors reported the replication as:** successful
> **Quote:** Results of the current study align with prior research demonstrating the ability of the disequilibrium approach to quantify the magnitude and direction of predicted change in instrumental activities based on measures of free operant baseline responding.
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"3","10.1016/j.cognition.2009.02.001","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Lynds et al. (2024). Effects of personal force and physical contact on moral decision-making: A replication. https://doi.org/10.31234/osf.io/dca65
> 
> **The authors reported the replication as:** mixed
> **Quote:** Personal force was associated with decreased ratings of moral acceptability and permissibility, partially replicating experiments 1a and 1b of Greene et al. (2009).
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"4","10.1016/j.cub.2004.01.029","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Meijer et al. (2019). Integration of audiovisual spatial signals is not consistent with maximum likelihood estimation. Cortex, 119, 74–88. https://doi.org/10.1016/j.cortex.2019.03.026
> 
> **The authors reported the replication as:** failed
> **Quote:** Our results therefore suggest that observers did not integrate audiovisual spatial signals weighted exactly in proportion to their relative reliabilities for localization.
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"5","10.1016/j.jsp.2021.09.004","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Gettinger et al. (2024). Academic and behavior combined support: A single-case practice-based replication study. Journal of School Psychology, 104, 101307. https://doi.org/10.1016/j.jsp.2024.101307
> 
> **The authors reported the replication as:** successful
> **Quote:** In concert with prior empirical findings on ABC Support, analyses revealed improvement from baseline to intervention for both reading and behavior outcomes, as well as from baseline to follow-up assessments.
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"6","10.1017/bec.2013.16","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Burns et al. (2020). Not all checking decreases memory confidence: Implications for obsessive-compulsive disorder. Journal of Behavior Therapy and Experimental Psychiatry, 69, 101573. https://doi.org/10.1016/j.jbtep.2020.101573
> 
> **The authors reported the replication as:** successful
> **Quote:** we consistently replicated the increase in memory distrust across repeated trials that is typically found with the stove-checking task
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"7","10.1023/a:1019923923537","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Ziano et al. (2021). Perceived morality of direct versus indirect harm: Replications of the preference for indirect harm effect. Meta-Psychology, 5. https://doi.org/10.15626/mp.2019.2134
> 
> **The authors reported the replication as:** successful
> **Quote:** we successfully replicated Study 2 of Royzman and Baron (2002) with a Hong Kong student sample (N = 46) and an online American Mechanical Turk sample (N = 314). We found con- sistent evidential support for the preference for indirect harm phenomenon (d = 0.46 [0.26, 0.65] to 0.47 [0.18, 0.75]), weaker than effects reported in the original findings of the target article (d = 0.70 [0.40, 0.99]). We also successfully replicated findings regarding reasons underlying a preference for indirect harm (di- rectness, intent, omission, probability of harm, and appearance of harm).
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"8","10.1037/0096-3445.136.4.569","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Klein et al. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225
> 
> **The authors reported the replication as:** failed
> **Quote:** These results do not support the hypothesis that syllogism performance is higher when the font is harder to read; the difference between conditions was slightly in the opposite direction and not distinguishable from zero (d = −0.03, 95% CI = [−0.08, 0.01], vs. original d = 0.64).
> **Quote source:** p. 13


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"9","10.1037/0278-7393.34.1.167","**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/38ges
> 
> **The authors reported the replication as:** failed
> **Quote:** We could not reject the null hypothesis of no difference between the sunny and the cloudy conditions in the correlations between the ART measure and self-reported drug use. We can thus not confirm this result from the Pleskac (2008) study. The correlations between the adjusted ART measure and the weighted polydrug measure in the two sunny conditions were furthermore not significantly different from zero (both of these correlations were significant in the Pleskac (2008) study).
> **Quote source:** conclusion section in the repository


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
"10","10.1037/a0012833","**2 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication 1**

> Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/rgm6p
> 
> **The authors reported the replication as:** failed
> **Quote:** Our replication attempt of Experiment7 of Albarracín et al. (2008) did not replicate the key results reported in the original study, suggesting that action and inaction priming had no significant influence on the number of thoughts reported.
> **Quote source:** p. 5 of replication report


**Replication 2**

> Corker et al. (2020). Many Labs 5: Registered Replication of Albarracín et al. (2008), Experiment 7. Advances in Methods and Practices in Psychological Science, 3(3), 340–352. https://doi.org/10.1177/2515245920925750
> 
> **The authors reported the replication as:** failed
> **Quote:** Results for both protocols were largely consistent with Sonnleitner and Voracek’s findings (pseudo- r 2 s = 0.14% and 0.50%).
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment can be found [here](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

RepNote Team"
