doi_o,message
10.1037/h0080111,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Rayner et al. (2014). Lack of semantic parafoveal preview benefit in reading revisited. Psychonomic Bulletin & Review, 21(4), 1067–1072. [https://doi.org/10.3758/s13423-014-0582-9](https://doi.org/10.3758/s13423-014-0582-9) 🔓 [Open Access](https://www.ncbi.nlm.nih.gov/pmc/articles/4104250)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** “Thus, the present experiment replicates the earlier data reported by Rayner et al. (1986), indicating evidence for an orthographic preview benefit but a lack of semantic preview benefit in reading English.”
> 
> **Quote source:** Full text


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1093/hmg/ddp542,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Goris et al. (2010). Replication of KIF21B as a susceptibility locus for multiple sclerosis: Table 1. Journal of Medical Genetics, 47(11), 775–776. [https://doi.org/10.1136/jmg.2009.075911](https://doi.org/10.1136/jmg.2009.075911) 🔓 [Open Access](https://hal.science/hal-00557390)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** We here replicate the association with multiple sclerosis in a Belgian study population of 791 patients and 1098 controls.
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1016/s2213-8587(18)30051-2,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Slieker et al. (2021). Replication and cross-validation of type 2 diabetes subtypes based on clinical variables: an IMI-RHAPSODY study. Diabetologia, 64(9), 1982–1989. [https://doi.org/10.1007/s00125-021-05490-8](https://doi.org/10.1007/s00125-021-05490-8)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** Clusters based on C-peptide instead of HOMA2 measures resemble those based on HOMA2 measures, especially for SIDD, SIRD and MOD.
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1080/01690960802164242,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Lázaro et al. (2018). Morphological effects in word identification: tracking the developmental trajectory of derivational suffixes in Spanish. Reading and Writing, 31(7), 1669–1684. [https://doi.org/10.1007/s11145-018-9858-1](https://doi.org/10.1007/s11145-018-9858-1)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** Results in adults replicate previous studies by showing that only the related condition of complex words elicits a significant facilitation (see Duabeitia, Perea, & Carreiras, 2008).
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1002/tea.21227,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Moote et al. (2019). Who has high science capital? An exploration of emerging patterns of science capital among students aged 17/18 in England. Research Papers in Education, 36(4), 402–422. [https://doi.org/10.1080/02671522.2019.1678062](https://doi.org/10.1080/02671522.2019.1678062)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** It replicates and extends previous findings, showing that among older students, levels of science capital remain patterned by gender, ethnicity, cultural capital and science set.
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1037/h0093718,"**2 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication 1**

> Franzen et al. (2023). The power of social influence: A replication and extension of the Asch experiment. PLOS ONE, 18(11), e0294325. [https://doi.org/10.1371/journal.pone.0294325](https://doi.org/10.1371/journal.pone.0294325) 🔓 [Open Access](https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0294325&type=printable)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** We find an error rate of 33% for the standard length-of-line experiment which replicates the original findings by Asch (1951, 1955, 1956).
> 
> **Quote source:** abstract


**Replication 2**

> Ušto et al. (2019). Replikacija Aschova efekta u Bosni i Hercegovini. Psihologijske Teme, 28(3), 589–599. [https://doi.org/10.31820/pt.28.3.7](https://doi.org/10.31820/pt.28.3.7) 🔓 [Open Access](https://hrcak.srce.hr/file/334421)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** the results revealed a clear-cut and powerful ""Asch effect"" wherein participants followed the majority in 35.4% of critical trials.
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1177/0022219409335218,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Zettler-Greeley et al. (2018). Efficacy of the Nemours BrightStart! Early Literacy Program: Treatment Outcomes From a Randomized Trial With At-Risk Prekindergartners. Early Education and Development, 29(6), 873–892. [https://doi.org/10.1080/10409289.2018.1475202](https://doi.org/10.1080/10409289.2018.1475202)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** replicating previous findings for the screener, rhyming, and print knowledge, and extending them to elision.
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1056/nejmoa1007064,"**2 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication 1**

> Riazuddin et al. (2011). Replication of theTCF4Intronic Variant in Late-Onset Fuchs Corneal Dystrophy and Evidence of Independence from theFCD2Locus. Investigative Opthalmology & Visual Science, 52(5), 2825. [https://doi.org/10.1167/iovs.10-6497](https://doi.org/10.1167/iovs.10-6497) 🔓 [Open Access](https://iovs.arvojournals.org/arvo/content_public/journal/iovs/932973/z7g00511002825.pdf)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** ""the first independent replication of rs613872 conferring risk of late-onset FCD.""
> 
> **Quote source:** abstract


**Replication 2**

> Li et al. (2011). Replication of TCF4 through Association and Linkage Studies in Late-Onset Fuchs Endothelial Corneal Dystrophy. PLoS ONE, 6(4), e18044. [https://doi.org/10.1371/journal.pone.0018044](https://doi.org/10.1371/journal.pone.0018044) 🔓 [Open Access](https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0018044&type=printable)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** We found significant association with rs613872, the target marker reported by Baratz et al.(2010), for all three genetic models (DOM: P = 9.33×10(-35); ADD: P = 7.48×10(-30); REC: P = 5.27×10(-6)).
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1037/0022-006x.64.5.927,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Reese et al. (2011). Replicating and extending the good-enough level model of change: Considering session frequency. Psychotherapy Research, 21(5), 608–619. [https://doi.org/10.1080/10503307.2011.598580](https://doi.org/10.1080/10503307.2011.598580)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** Our results are consistent with the GEL model (i.e., clients who attended fewer sessions evidenced faster rates of change)
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
10.1007/978-90-481-3941-5_10,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**



> Leicher et al. (2012). Learning from Errors at Work: A Replication Study in Elder Care Nursing. Vocations and Learning, 6(2), 207–220. [https://doi.org/10.1007/s12186-012-9090-0](https://doi.org/10.1007/s12186-012-9090-0)
> 
> **The authors reported the replication as:** successful
>
> **Quote:** These results entirely cross-validate the exploratory findings of Bauer and Mulder (Learning in Health and Social Care 6:121-133, 2011) on hospital nurses' ESLA and show that they generalise to the domain of elder care nursing.
> 
> **Quote source:** abstract


Manual inspection may help to assess what led to the described outcome. Future research can learn from replications and build on them. We welcome any clarifications or further context as comments on PubPeer. More information about why and how we submitted this automated comment can be found [here](https://forrt.org/flora-pubpeer/)

RepNote Team"
