doi_o,message
10.1002/pam.21702,"**2 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Chen, W., Dong, B., Hsieh, C., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of ---an experimental test of the expectancy---disconfirmation theory of citizen satisfaction.--- Public Administration, 100(3), 778---791. Portico. https://doi.org/10.1111/padm.12860

**Outcome:** ""successful""

> **Outcome quote:** We found support for the findings reported in Van Ryzin (2013) and concluded that the expectancy-disconfirmation model holds promise in a variety of settings as a framework for measuring citizen satisfaction with public services.
> **Quote source:** ""abstract""


**Replication article reference:** Grimmelikhuijsen, S., & Porumbescu, G. A. (2017). Reconsidering the expectancy disconfirmation model. Three experimental replications. Public Management Review, 19(9), 1272---1292. https://doi.org/10.1080/14719037.2017.1282000

**Outcome:** ""mixed""

> **Outcome quote:** Study 1 and 2 reproduced original findings. In contrast, study 3 indicates that expectation cues are retrospectively used to anchor prior experiences of performance.


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1002/soej.12223,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Von Blanckenburg, K., Tebbe, E., & Iseke, A. (2023). Giving and taking in dictator games --- differences by gender? A replication study of Chowdhury et al. (Southern Economic Journal, 2017). Journal of Comments and Replications in Economics, 2023---2021. https://doi.org/10.18718/81781.27

**Outcome:** ""failed""

> **Outcome quote:** ""In contrast to the original study, we do not find support for an asymmetric gender effect.""
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1016/0022-1031(91)90011-t,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Jamison, J., Yay, T., & Feldman, G. (2020). Action-inaction asymmetries in moral scenarios: Replication of the omission bias examining morality and blame with extensions linking to causality, intent, and regret. Journal of Experimental Social Psychology, 89, 103977. https://doi.org/10.1016/j.jesp.2020.103977

**Outcome:** ""successful""

> **Outcome quote:** In a pre-registered experiment (N = 313), we successfully replicated an experiment from Spranca, Minsk, and Baron (1991) [...] Participants in the harm through commission condition(s) rated harm as more immoral and attributed higher responsibility compared to participants in the harm through omission condition (d = 0.45 to 0.47 and d = 0.40 to 0.53).


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1016/j.appet.2016.07.009,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Earle, M., Hodson, G., Dhont, K., & MacInnis, C. (2019). Eating with our eyes (closed): Effects of visually associating animals with meat on antivegan/vegetarian attitudes and meat consumption willingness. Group Processes & Intergroup Relations, 22(6), 818---835. https://doi.org/10.1177/1368430219861848

**Outcome:** ""successful""

> **Outcome quote:** In two studies, we replicated and extended past work, showing that visual reminders of meat---s animal origins (vs. images of meat alone) decreased meat consumption willingness via increased empathy for animals, distress about meat consumption, and disgust for meat.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1016/j.learninstruc.2014.08.004,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Loibl, K., & Leuders, T. (2024). Can failure be made productive also in Bayesian reasoning? A conceptual replication study. Instructional Science, 53(6), 1739---1758. https://doi.org/10.1007/s11251-024-09670-y

**Outcome:** ""failed""

> **Outcome quote:** In contrast to Loibl and Rummel (2014a), we did neither find a main effect for PS-I vs. I-PS, nor for building on typical student solutions.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0021-843x.108.3.511,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Newby, J. M., & Moulds, M. L. (2011). Do intrusive memory characteristics predict depression at 6 months? Memory, 19(5), 538---546. https://doi.org/10.1080/09658211.2011.590505

**Outcome:** ""mixed""

> **Outcome quote:** Results were partly consistent with hypotheses for the sub-sample of participants who did not receive treatment between the baseline and follow-up assessments.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0021-9010.77.4.419,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Schulz-Hardt, S., Rollwage, J., Wanzel, S. K., Frisch, J. U., & H--usser, J. A. (2021). Effects of process and outcome accountability on escalating commitment: A two-study replication. Journal of Experimental Psychology: Applied, 27(1), 112---124. https://doi.org/10.1037/xap0000321

**Outcome:** ""failed""

> **Outcome quote:** However, as we did not replicate the original effects in a first experiment, in spite of the fact that our materials and our procedure resembled the original study as closely as possible, we conducted a second experiment with an even stronger accountability manipulation as compared to the original study, and with an increased sample size. Once again, no effects of accountability were found. Taken together, the results of these two experiments question the robustness of the original findings.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0022-3514.67.3.357,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Yeung, S. K., & Feldman, G. (2022). Revisiting the Temporal Pattern of Regret in Action Versus Inaction: Replication of Gilovich and Medvec (1994) With Extensions Examining Responsibility. Collabra: Psychology, 8(1). https://doi.org/10.1525/collabra.37122

**Outcome:** ""mixed""

> **Outcome quote:** We found support for the original findings using different designs in Studies 1, 3, and 4, yet with weaker effects. We failed to find support for such a pattern in Study 5. || We found support for the original findings using different designs in Studies 1, 3, and 4, yet with weaker effects. || We failed to find support for such a pattern in Study 5.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0022-3514.73.4.733,"**3 replication attempts of this paper have been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** Liu, Y., Wang, B., & Van Lange, P. A. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402---417. https://doi.org/10.1177/08902070221094216

**Outcome:** ""mixed""

> **Outcome quote:** we replicated earlier findings that prosociality was associated with a greater level of secure attachment and a lower level of avoidant attachment. Moreover, prosociality was positively related to the number of siblings, especially sisters, as discovered by Study 3 of the original study. However, we failed to replicate the significant relation between SVO and age. || we replicated earlier findings that prosociality was associated with a greater level of secure attachment and a lower level of avoidant attachment. Moreover, prosociality was positively related to the number of siblings, especially sisters, as discovered by Study 3 of the original study. However, we failed to replicate the significant relation between SVO and age. Generally, we conclude that prosocial orientation is associated---even if modestly---with secure and avoidant attachment and the number of siblings, but the link with age is a question open to future investigation. || we failed to replicate the association between SVO and age that discovered by the Original Study 4.
> **Quote source:** ""abstract || p. 403""


**Replication article reference:** Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahn--k, --., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., --- Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443---490. https://doi.org/10.1177/2515245918810225

**Outcome:** ""failed""

> **Outcome quote:** This result does not support the hypothesis that having more siblings is positively related with prosocial orientation. Direct comparison of effect sizes was not possible because of the change in the SVO measure, but the replication effect size was near zero.
> **Quote source:** ""pg. 16""


**Replication article reference:** IJzerman, H., & Denissen, J. J. A. (2019). Social value orientation and attachment: a replication and extension of Van Langeet al. (1997). Royal Society Open Science, 6(4), 181575. https://doi.org/10.1098/rsos.181575

**Outcome:** ""failed""

> **Outcome quote:** we failed to replicate the effect.


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
10.1037/0022-3514.76.6.893,"**1 replication attempt of this paper has been recorded in the FORRT Library of Reproduction and Replication Attempts (FLoRA).**


**Replication article reference:** F--rster, N., Felser, G., & R--seler, L. (2022). The Chameleon Effect: A Replication Study. OSF. https://doi.org/10.17605/OSF.IO/7WEUM

**Outcome:** ""mixed""

> **Outcome quote:** Results revealed a mimicry effect for smiling but not for foot shaking or face rubbing.
> **Quote source:** ""abstract""


Manual inspection may help to assess what led to the outcome described. Future research can learn from replications and build on them. More information about why and how we submitted this automated comment was submitted can be found at [https://github.com/forrtproject/flora-pubpeer/blob/main/README.md](https://github.com/forrtproject/flora-pubpeer/blob/main/README.md)

FLoRA Notify Team"
