title_o,doi_o,journal_o,title_r,doi_r,journal_r,apa_ref_r,outcome,outcome_quote,outcome_quote_source,n_replications,comment_text
Analytic thinking reduces belief in conspiracy theories,10.1016/j.cognition.2014.08.006,Cognition,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from,10.1016/j.jesp.2023.104549,Journal of Experimental Social Psychology,"Većkalov, B., Gligorić, V., & Petrović, M. B. (2024). No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from. Journal of Experimental Social Psychology, 110, 104549. https://doi.org/10.1016/j.jesp.2023.104549",failed,"We found no evidence that priming analytic thinking through the scrambled sentence task (N = 302), nor the difficult-to-read fonts (N = 488) elicited more analytic thinking, nor reduced belief in conspiracy theories.",abstract,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Većkalov, B., Gligorić, V., & Petrović, M. B. (2024). No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from. Journal of Experimental Social Psychology, 110, 104549. https://doi.org/10.1016/j.jesp.2023.104549
https://doi.org/10.1016/j.jesp.2023.104549

Outcome: failed
Outcome quote: We found no evidence that priming analytic thinking through the scrambled sentence task (N = 302), nor the difficult-to-read fonts (N = 488) elicited more analytic thinking, nor reduced belief in conspiracy theories.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
A bifactor approach to modeling the structure of repetitive thinking: Replication and extension,10.1016/j.paid.2021.111472,Personality and Individual Differences,Bi-factor model of repetitive thinking: Replication and extension,10.1016/j.paid.2024.112692,Personality and Individual Differences,"Liu, K., Wright, M. E., Cole, L. A., & Warren, S. L. (2024). Bi-factor model of repetitive thinking: Replication and extension. Personality and Individual Differences, 226, 112692. https://doi.org/10.1016/j.paid.2024.112692",successful,"The present study replicated this bi-factor structure of repetitive thinking in a younger sample from the
Netherlands (N = 3906).",abstract,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Liu, K., Wright, M. E., Cole, L. A., & Warren, S. L. (2024). Bi-factor model of repetitive thinking: Replication and extension. Personality and Individual Differences, 226, 112692. https://doi.org/10.1016/j.paid.2024.112692
https://doi.org/10.1016/j.paid.2024.112692

Outcome: successful
Outcome quote: The present study replicated this bi-factor structure of repetitive thinking in a younger sample from the
Netherlands (N = 3906).
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The effects of an implemental mind-set on attitude strength.,10.1037/0022-3514.94.3.396,Journal of Personality and Social Psychology,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,10.1098/rsos.231240,Royal Society Open Science,"Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240",failed,"0 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0",Supplemental Infromation,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11). https://doi.org/10.1098/rsos.231240
https://doi.org/10.1098/rsos.231240

Outcome: failed
Outcome quote: 0 [In figure 2, authors quantified subjective success on a more nuanced scale from 0, 0.25, 0.5, 0.75 and 1. I am coding 0 as 'failed', 1 as 'success' and anything inbetween as 'mixed']. subjective replication success rating 0
Quote source: Supplemental Infromation

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
The effects of an implemental mind-set on attitude strength.,10.1037/0022-3514.94.3.396,Journal of Personality and Social Psychology,Estimating the reproducibility of psychological science,10.1126/science.aac4716,Science,Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/79dey,failed,no marked in Replicate column,data file at https://osf.io/fgjvw,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Open Science Collaboration (2015). Estimating the reproducibility of psychological science. Science 349(6251). Individual report available at https://osf.io/79dey
https://doi.org/10.1126/science.aac4716

Outcome: failed
Outcome quote: no marked in Replicate column
Quote source: data file at https://osf.io/fgjvw

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Mere exposure to money increases endorsement of free-market systems and social inequality.,10.1037/a0029288,Journal of Experimental Psychology: General,Investigating Variation in Replicability,10.1027/1864-9335/a000178,Social Psychology,"Klein, R. A., Ratliff, K. A., Vianello, M., Adams, R. B., Bahník, Š., Bernstein, M. J., Bocian, K., Brandt, M. J., Brooks, B., Brumbaugh, C. C., Cemalcilar, Z., Chandler, J., Cheong, W., Davis, W. E., Devos, T., Eisner, M., Frankowska, N., Furrow, D., Galliani, E. M., … Nosek, B. A. (2014). Investigating Variation in Replicability. Social Psychology, 45(3), 142–152. https://doi.org/10.1027/1864-9335/a000178 Individual report available at https://osf.io/y36m8",failed,"In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate.",abstract,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Klein, R. A., Ratliff, K. A., Vianello, M., Adams, R. B., Bahník, Š., Bernstein, M. J., Bocian, K., Brandt, M. J., Brooks, B., Brumbaugh, C. C., Cemalcilar, Z., Chandler, J., Cheong, W., Davis, W. E., Devos, T., Eisner, M., Frankowska, N., Furrow, D., Galliani, E. M., … Nosek, B. A. (2014). Investigating Variation in Replicability. Social Psychology, 45(3), 142–152. https://doi.org/10.1027/1864-9335/a000178 Individual report available at https://osf.io/y36m8
https://doi.org/10.1027/1864-9335/a000178

Outcome: failed
Outcome quote: In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate.
Quote source: abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Mere exposure to money increases endorsement of free-market systems and social inequality.,10.1037/a0029288,Journal of Experimental Psychology: General,Do subtle reminders of money change people’s political views?,10.1037/xge0000058,Journal of Experimental Psychology: General,"Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. https://doi.org/10.1037/xge0000058",failed,We conducted high-powered replication attempts of these 4 money priming effects and found no evidence of priming (weighted Cohen's d = 0.03).,NA,2,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 2 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. https://doi.org/10.1037/xge0000058
https://doi.org/10.1037/xge0000058

Outcome: failed
Outcome quote: We conducted high-powered replication attempts of these 4 money priming effects and found no evidence of priming (weighted Cohen's d = 0.03).
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Less is more? Think again! A cognitive fluency-based more–less asymmetry in comparative communication.,10.1037/pspa0000032,Journal of Personality and Social Psychology,More is easier? Testing the role of fluency in the more-credible effect,10.1017/s1930297500007774,Judgment and Decision Making,"Skylark, W. J. (2021). More is easier? Testing the role of fluency in the more-credible effect. Judgment and Decision Making, 16(3), 638–686. https://doi.org/10.1017/s1930297500007774",mixed,"In Studies 1, 2, and 4-8, participants indicated greater agreement with, and judged as more likely to be true, statements of the form ""A is more than B"" than those of the form ""B is less than A"", despite the same ordinal relation being described in each case. || However, the effect of comparative did not hold for all stimulus sets: the perceived truth of the land-use statements in Studies 3 and 9 were unaffected by the choice of comparative, implying an important constraint on the generality of the effect. || I find no meaningful effect of warning people not to base their judgments on the fluency of the sentences (Studies 5 and 6).",pg 676 || abstract,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Skylark, W. J. (2021). More is easier? Testing the role of fluency in the more-credible effect. Judgment and Decision Making, 16(3), 638–686. https://doi.org/10.1017/s1930297500007774
https://doi.org/10.1017/s1930297500007774

Outcome: mixed
Outcome quote: In Studies 1, 2, and 4-8, participants indicated greater agreement with, and judged as more likely to be true, statements of the form ""A is more than B"" than those of the form ""B is less than A"", despite the same ordinal relation being described in each case. || However, the effect of comparative did not hold for all stimulus sets: the perceived truth of the land-use statements in Studies 3 and 9 were unaffected by the choice of comparative, implying an important constraint on the generality of the effect. || I find no meaningful effect of warning people not to base their judgments on the fluency of the sentences (Studies 5 and 6).
Quote source: pg 676 || abstract

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Past-focused environmental comparisons promote proenvironmental outcomes for conservatives,10.1073/pnas.1610834113,Proceedings of the National Academy of Sciences,Examining the replicability of online experiments selected by a decision market,10.1038/s41562-024-02062-9,Nature Human Behaviour,"Holzmeister, F., Johannesson, M., Camerer, C. F., Chen, Y., Ho, T.-H., Hoogeveen, S., Huber, J., Imai, N., Imai, T., Jin, L., Kirchler, M., Ly, A., Mandl, B., Manfredi, D., Nave, G., Nosek, B. A., Pfeiffer, T., Sarafoglou, A., Schwaiger, R., … Dreber, A. (2024). Examining the replicability of online experiments selected by a decision market. Nature Human Behaviour, 9(2), 316–330. https://doi.org/10.1038/s41562-024-02062-9 Individual report available at https://osf.io/sejyp",failed,"Crossed in Replication
outcome column in Supplementary Table 2.",Supplementary Information p.25,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Holzmeister, F., Johannesson, M., Camerer, C. F., Chen, Y., Ho, T.-H., Hoogeveen, S., Huber, J., Imai, N., Imai, T., Jin, L., Kirchler, M., Ly, A., Mandl, B., Manfredi, D., Nave, G., Nosek, B. A., Pfeiffer, T., Sarafoglou, A., Schwaiger, R., … Dreber, A. (2024). Examining the replicability of online experiments selected by a decision market. Nature Human Behaviour, 9(2), 316–330. https://doi.org/10.1038/s41562-024-02062-9 Individual report available at https://osf.io/sejyp
https://doi.org/10.1038/s41562-024-02062-9

Outcome: failed
Outcome quote: Crossed in Replication
outcome column in Supplementary Table 2.
Quote source: Supplementary Information p.25

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
"Dehumanization increases instrumental violence, but not moral violence",10.1073/pnas.1705238114,Proceedings of the National Academy of Sciences,Examining the replicability of online experiments selected by a decision market,10.1038/s41562-024-02062-9,Nature Human Behaviour,"Holzmeister, F., Johannesson, M., Camerer, C. F., Chen, Y., Ho, T.-H., Hoogeveen, S., Huber, J., Imai, N., Imai, T., Jin, L., Kirchler, M., Ly, A., Mandl, B., Manfredi, D., Nave, G., Nosek, B. A., Pfeiffer, T., Sarafoglou, A., Schwaiger, R., … Dreber, A. (2024). Examining the replicability of online experiments selected by a decision market. Nature Human Behaviour, 9(2), 316–330. https://doi.org/10.1038/s41562-024-02062-9 Individual report available at https://osf.io/sejyp",successful,"Ticked in Replication
outcome column in Supplementary Table 2.",Supplementary Information p.25,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Holzmeister, F., Johannesson, M., Camerer, C. F., Chen, Y., Ho, T.-H., Hoogeveen, S., Huber, J., Imai, N., Imai, T., Jin, L., Kirchler, M., Ly, A., Mandl, B., Manfredi, D., Nave, G., Nosek, B. A., Pfeiffer, T., Sarafoglou, A., Schwaiger, R., … Dreber, A. (2024). Examining the replicability of online experiments selected by a decision market. Nature Human Behaviour, 9(2), 316–330. https://doi.org/10.1038/s41562-024-02062-9 Individual report available at https://osf.io/sejyp
https://doi.org/10.1038/s41562-024-02062-9

Outcome: successful
Outcome quote: Ticked in Replication
outcome column in Supplementary Table 2.
Quote source: Supplementary Information p.25

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Does Your Company Have the Right Logo? How and Why Circular- and Angular-Logo Shapes Influence Brand Attribute Judgments,10.1093/jcr/ucv049,Journal of Consumer Research,Evaluating replicability of ten influential research on sensory marketing,10.3389/fcomm.2022.1048896,Frontiers in Communication,"Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7. https://doi.org/10.3389/fcomm.2022.1048896",failed,"Our replication attempts successfully replicated two findings (Klink, 2000; Shrum et al., 2012) and partially replicated one of them (Yorkston and Menon, 2004). [...] Only 20% (2/10) of study findings could be successfully replicated",p. 7-8,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7. https://doi.org/10.3389/fcomm.2022.1048896
https://doi.org/10.3389/fcomm.2022.1048896

Outcome: failed
Outcome quote: Our replication attempts successfully replicated two findings (Klink, 2000; Shrum et al., 2012) and partially replicated one of them (Yorkston and Menon, 2004). [...] Only 20% (2/10) of study findings could be successfully replicated
Quote source: p. 7-8

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
