"","doi_o","doi_r","apa_ref_r"
"1","10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"2","10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y","10.1525/collabra.77859","Vonasch, A. J., Hung, W. Y., Leung, W. Y., Nguyen, A. T. B., Chan, S., Cheng, B. L., & Feldman, G. (2023). ‎“Less Is Better” in Separate Evaluations Versus “More Is Better” in Joint Evaluations: Mostly ‎Successful Close Replication and Extension of Hsee (1998)‎. Collabra: Psychology, 9(1). https://doi.org/10.1525/collabra.77859"
"3","10.1002/bdm.586","10.1177/2515245918810225","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams, R. B., Alper, S., Aveyard, M., Axt, J. R., Babalola, M. T., Bahník, Š., Batra, R., Berkics, M., Bernstein, M. J., Berry, D. R., Bialobrzeska, O., Binan, E. D., Bocian, K., Brandt, M. J., Busching, R., … Nosek, B. A. (2018). Many Labs 2: Investigating Variation in Replicability Across Samples and Settings. Advances in Methods and Practices in Psychological Science, 1(4), 443–490. https://doi.org/10.1177/2515245918810225"
"4","10.1002/bdm.586","10.1525/collabra.310","Shanks, D. R., Barbieri-Hermitte, P., & Vadillo, M. A. (2020). Do Incidental Environmental Anchors Bias Consumers’ Price Estimations? Collabra: Psychology, 6(1). https://doi.org/10.1525/collabra.310"
"5","10.1002/pam.21702","10.1111/padm.12860","Chen, W., Dong, B., Hsieh, C., Lee, M. J., Liu, N., Walker, R. M., Wang, Y., Wen, B., Wen, W., Wu, P., Wu, X., & Zhang, J. (2022). A replication of “an experimental test of the <scp>expectancy‐disconfirmation</scp> theory of citizen satisfaction.” Public Administration, 100(3), 778–791. Portico. https://doi.org/10.1111/padm.12860"
"6","10.1002/pam.21702","10.1080/14719037.2017.1282000","Grimmelikhuijsen, S., & Porumbescu, G. A. (2017). Reconsidering the expectancy disconfirmation model. Three experimental replications. Public Management Review, 19(9), 1272–1292. https://doi.org/10.1080/14719037.2017.1282000"
"7","10.1016/j.appet.2020.104808","10.1016/j.appet.2023.106554","Dixit, U., He, J., Whited, M., Ellis, J. M., & Zickgraf, H. F. (2023). Negative emotional eating patterns among American university students: A replication study. Appetite, 186, 106554. https://doi.org/10.1016/j.appet.2023.106554"
"8","10.1016/j.appet.2020.104808","10.1016/j.eatbeh.2024.101899","Xu, Y., Song, J., Ren, Y., Barnhart, W. R., Dixit, U., Ji, F., Chen, C., & He, J. (2024). Negative emotional eating patterns in general Chinese adults: A replication and expansion study examining group differences in eating disorder symptomatology, psychosocial impairment, and emotion regulation difficulties. Eating Behaviors, 54, 101899. https://doi.org/10.1016/j.eatbeh.2024.101899"
"9","10.1016/j.cogdev.2010.09.001","10.1371/journal.pone.0140570","Salvadori, E., Blazsekova, T., Volein, A., Karap, Z., Tatone, D., Mascaro, O., & Csibra, G. (2015). Probing the Strength of Infants’ Preference for Helpers over Hinderers: Two Replication Attempts of Hamlin and Wynn (2011). PLOS ONE, 10(11), e0140570. https://doi.org/10.1371/journal.pone.0140570"
"10","10.1016/j.cogdev.2010.09.001","10.14288/1.0372317","Sitch, M. J. (2018). Do infants prefer prosocial others? A direct replication of Hamlin &amp; Wynn (2011). <i>University of British Columbia</i>. https://doi.org/10.14288/1.0372317"
